ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,scraped_at,tk_data,source_url
CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,8/1/2026,,"2,0",2/1/2024,1/31/2026,No,2026-02-07T19:28:22.600126,"1,130654501,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226
CA135087L518,CANADA 20/26,Canada,"Canada, Government of...","34,000,000,000",CAD,99.03,10/9/2020,0.250%,1000,,regular interest,,3/1/2026,3/1/2026,,"2,0",3/1/2021,2/28/2026,No,2026-02-07T19:28:25.064838,"1,57601476,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518
CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,"2,0",4/1/2023,3/31/2026,No,2026-02-07T19:28:28.343437,"1,124578091,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087p816
CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,"2,0",5/1/2024,4/30/2026,No,2026-02-07T19:28:30.931362,"1,132969994,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1
CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,"2,0",12/1/2015,5/31/2026,No,2026-02-07T19:28:34.335721,"1,28975906,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1
CA135087R978,CANADA 24/26,Canada,"Canada, Government of...","22,000,000,000",CAD,99.59,5/6/2024,4.000%,1000,,regular interest,,8/3/2026,8/1/2026,,"2,0",8/1/2024,8/2/2026,No,2026-02-07T19:28:37.094848,"1,135402145,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r978?miRedirects=1
CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,"2,0",9/1/2021,8/31/2026,No,2026-02-07T19:28:39.614197,"1,111141014,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1
CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,"2,0",11/1/2024,10/31/2026,No,2026-02-07T19:28:42.265446,"1,137893857,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1
CA135087S547,CANADA 24/27,Canada,"Canada, Government of...","27,500,000,000",CAD,99.84,11/1/2024,3.000%,1000,,regular interest,,2/1/2027,8/1/2026,,"2,0",2/1/2025,1/31/2027,No,2026-02-07T19:28:44.831999,"1,139591564,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202427-bond-2027-ca135087s547?miRedirects=1
CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,"2,0",3/1/2022,2/28/2027,No,2026-02-07T19:28:47.395158,"1,114329463,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1
CA135087S885,CANADA 25/27,Canada,"Canada, Government of...","28,500,000,000",CAD,99.86,2/20/2025,2.750%,1000,,regular interest,,5/1/2027,5/1/2026,,"2,0",5/1/2025,4/30/2027,No,2026-02-07T19:28:49.330696,"1,142700048,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087s885?miRedirects=1
CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,"2,0",12/1/2016,5/31/2027,No,2026-02-07T19:28:51.937615,"1,33461441,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1
CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,"2,0",6/1/1996,5/31/2027,No,2026-02-07T19:28:57.094385,"1,490501,1330,184",https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1
CA135087T461,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.78,5/15/2025,2.500%,1000,,regular interest,,8/1/2027,8/1/2026,,"2,0",8/1/2025,7/31/2027,No,2026-02-07T19:29:00.824871,"1,145462038,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t461?miRedirects=1
CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,"2,0",2/24/2023,8/23/2027,No,2026-02-07T19:29:06.544497,"1,123653782,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1
CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,"2,0",9/1/2022,8/31/2027,No,2026-02-07T19:29:10.737704,"1,119036843,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1
CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,"2,0",11/1/2025,10/31/2027,No,2026-02-07T19:29:14.670631,"1,148260836,1330,184",http://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1
